Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
"09.09.2020","7,940","7,784","7,940","7,724","4,00M","1,87%"
"08.09.2020","7,794","7,990","8,034","7,744","3,42M","-2,06%"
"07.09.2020","7,958","7,776","7,980","7,730","3,93M","3,46%"
"04.09.2020","7,692","7,660","7,786","7,632","2,81M","0,21%"
"03.09.2020","7,676","7,850","7,906","7,644","2,67M","-1,67%"
"02.09.2020","7,806","7,770","7,858","7,726","2,31M","0,93%"
"01.09.2020","7,734","7,760","7,800","7,634","2,45M","0,57%"
"31.08.2020","7,690","7,912","7,916","7,690","3,49M","-2,04%"
"28.08.2020","7,850","7,906","7,926","7,816","1,32M","0,08%"
"27.08.2020","7,844","7,928","7,928","7,826","1,98M","-1,16%"
"26.08.2020","7,936","7,900","7,952","7,852","1,46M","0,33%"
"25.08.2020","7,910","7,986","8,072","7,910","2,11M","-0,38%"
"24.08.2020","7,940","7,860","7,940","7,836","2,07M","1,74%"
"21.08.2020","7,804","7,856","7,862","7,744","1,76M","-0,26%"
"20.08.2020","7,824","7,858","7,894","7,780","1,90M","-1,46%"
"19.08.2020","7,940","7,864","7,940","7,784","2,04M","1,04%"
"18.08.2020","7,858","7,880","7,954","7,780","2,26M","-0,33%"
"17.08.2020","7,884","7,998","8,042","7,862","2,94M","-1,57%"
"14.08.2020","8,010","8,000","8,020","7,842","2,41M","-0,42%"
"13.08.2020","8,044","8,126","8,176","8,044","2,03M","-1,20%"
"12.08.2020","8,142","8,142","8,272","8,102","2,71M","-0,12%"
"11.08.2020","8,152","8,080","8,228","8,060","4,77M","1,60%"
"10.08.2020","8,024","7,948","8,060","7,870","3,32M","1,75%"
"07.08.2020","7,886","7,810","7,918","7,704","2,30M","0,79%"
"06.08.2020","7,824","7,924","7,990","7,774","2,22M","-1,56%"
"05.08.2020","7,948","7,978","8,056","7,912","2,16M","-0,03%"
"04.08.2020","7,950","7,934","8,030","7,840","2,83M","0,68%"
"03.08.2020","7,896","7,810","7,962","7,648","3,16M","1,86%"
"31.07.2020","7,752","7,780","7,944","7,704","3,71M","1,87%"
"30.07.2020","7,610","7,880","7,886","7,554","4,33M","-3,43%"
"29.07.2020","7,880","7,902","7,930","7,768","1,90M","-0,25%"
"28.07.2020","7,900","7,960","8,010","7,810","2,41M","-0,55%"
"27.07.2020","7,944","8,148","8,148","7,862","3,39M","-2,50%"
"24.07.2020","8,148","8,100","8,182","7,986","3,52M","-0,49%"
"23.07.2020","8,188","8,330","8,340","8,166","3,78M","-1,59%"
"22.07.2020","8,320","8,244","8,324","8,192","3,37M","0,90%"
"21.07.2020","8,246","8,288","8,424","8,202","7,34M","0,73%"
"20.07.2020","8,186","7,820","8,226","7,736","6,77M","5,11%"
"17.07.2020","7,788","7,852","7,868","7,744","2,91M","-0,94%"
"16.07.2020","7,862","7,810","7,932","7,790","2,35M","0,28%"
"15.07.2020","7,840","7,850","7,882","7,734","3,41M","0,44%"
"14.07.2020","7,806","7,750","7,830","7,718","2,71M","-0,38%"
"13.07.2020","7,836","7,794","7,858","7,664","2,56M","1,90%"
"10.07.2020","7,690","7,600","7,704","7,560","2,53M","0,87%"
"09.07.2020","7,624","7,838","7,858","7,624","3,04M","-2,36%"
"08.07.2020","7,808","7,820","7,880","7,716","3,41M","-0,79%"
"07.07.2020","7,870","7,850","7,938","7,792","2,60M","-0,56%"
"06.07.2020","7,914","7,930","8,004","7,872","3,05M","1,62%"
"03.07.2020","7,788","7,920","7,946","7,760","1,94M","-1,47%"
"02.07.2020","7,904","7,822","7,948","7,750","4,28M","1,93%"
"01.07.2020","7,754","7,752","7,840","7,568","4,51M","0,18%"
"30.06.2020","7,740","7,984","8,020","7,734","5,51M","-3,03%"
"29.06.2020","7,982","7,740","8,010","7,700","3,12M","3,05%"
"26.06.2020","7,746","7,986","7,986","7,746","2,39M","-2,00%"
"25.06.2020","7,904","7,820","7,940","7,682","4,38M","0,71%"
"24.06.2020","7,848","8,188","8,220","7,848","5,12M","-4,43%"
"23.06.2020","8,212","8,166","8,290","8,090","4,39M","1,71%"
"22.06.2020","8,074","7,950","8,232","7,910","4,18M","-1,78%"
"19.06.2020","8,220","8,430","8,476","8,220","8,39M","-2,00%"
"18.06.2020","8,388","8,478","8,530","8,286","4,78M","-0,71%"
"17.06.2020","8,448","8,538","8,660","8,418","4,13M","-0,45%"
"16.06.2020","8,486","8,540","8,642","8,384","5,43M","2,02%"
"15.06.2020","8,318","8,078","8,392","8,040","4,00M","0,85%"
"12.06.2020","8,248","8,036","8,394","7,986","4,31M","1,53%"
"11.06.2020","8,124","8,400","8,424","7,998","5,98M","-5,27%"
"10.06.2020","8,576","8,760","8,806","8,576","4,78M","-1,15%"
"09.06.2020","8,676","9,002","9,048","8,676","6,02M","-3,08%"
"08.06.2020","8,952","8,764","9,104","8,714","6,55M","2,08%"
"05.06.2020","8,770","8,658","8,806","8,624","6,26M","2,36%"
"04.06.2020","8,568","8,260","8,612","8,166","8,21M","3,20%"
"03.06.2020","8,302","8,144","8,332","8,130","6,30M","3,03%"
"02.06.2020","8,058","8,010","8,138","7,930","4,36M","1,15%"
"01.06.2020","7,966","8,020","8,030","7,860","3,14M","0,91%"
"29.05.2020","7,894","7,818","7,968","7,764","5,59M","0,18%"
"28.05.2020","7,880","7,950","8,028","7,842","5,42M","0,33%"
"27.05.2020","7,854","7,780","8,012","7,668","6,10M","1,50%"
"26.05.2020","7,738","7,794","7,854","7,622","4,32M","0,49%"
"25.05.2020","7,700","7,540","7,700","7,430","2,89M","3,47%"
"22.05.2020","7,442","7,300","7,542","7,222","3,54M","0,98%"
"21.05.2020","7,370","7,394","7,496","7,292","2,52M","-0,62%"
"20.05.2020","7,416","7,396","7,434","7,160","4,78M","0,16%"
"19.05.2020","7,404","7,580","7,592","7,330","5,26M","-0,78%"
"18.05.2020","7,462","7,304","7,462","7,230","2,71M","3,84%"
"15.05.2020","7,186","7,416","7,440","7,100","3,62M","-1,70%"
"14.05.2020","7,310","7,450","7,580","7,136","4,33M","-1,83%"
"13.05.2020","7,446","7,710","7,846","7,442","5,78M","-4,00%"
"12.05.2020","7,756","7,680","7,836","7,590","3,80M","2,13%"
"11.05.2020","7,594","7,500","7,690","7,466","3,54M","2,65%"
"08.05.2020","7,398","7,378","7,398","7,212","2,98M","2,35%"
"07.05.2020","7,228","7,412","7,456","7,224","4,30M","-1,66%"
"06.05.2020","7,350","7,570","7,602","7,350","3,27M","-2,83%"
"05.05.2020","7,564","7,568","7,708","7,464","3,18M","1,53%"
"04.05.2020","7,450","7,620","7,670","7,310","3,44M","-3,90%"
"30.04.2020","7,752","8,100","8,140","7,738","4,92M","-3,46%"
"29.04.2020","8,030","7,908","8,086","7,780","4,65M","2,06%"
"28.04.2020","7,868","7,910","8,130","7,852","5,19M","-0,18%"
"27.04.2020","7,882","7,610","7,882","7,598","3,69M","6,54%"
"24.04.2020","7,398","7,428","7,552","7,270","3,93M","-1,60%"
"23.04.2020","7,518","7,576","7,640","7,402","5,27M","-0,66%"
"22.04.2020","7,568","7,542","7,644","7,420","2,72M","1,58%"
"21.04.2020","7,450","7,590","7,694","7,414","3,43M","-2,13%"
"20.04.2020","7,612","7,800","7,822","7,510","2,86M","-1,14%"
"17.04.2020","7,700","7,860","7,912","7,672","3,12M","0,42%"
"16.04.2020","7,668","7,768","7,990","7,658","4,79M","0,82%"
"15.04.2020","7,606","8,310","8,334","7,606","7,35M","-8,80%"
"14.04.2020","8,340","8,488","8,488","8,320","3,03M","0,41%"
"09.04.2020","8,306","8,444","8,568","8,202","3,57M","0,34%"
"08.04.2020","8,278","8,002","8,350","8,002","2,48M","1,50%"
"07.04.2020","8,156","8,304","8,710","8,020","6,13M","1,44%"
"06.04.2020","8,040","8,050","8,120","7,928","3,52M","2,68%"
"03.04.2020","7,830","7,752","7,986","7,590","4,61M","0,75%"
"02.04.2020","7,772","7,492","7,798","7,456","3,60M","5,14%"
"01.04.2020","7,392","7,560","7,660","7,340","5,69M","-4,25%"
"31.03.2020","7,720","8,050","8,134","7,720","7,43M","-2,48%"
"30.03.2020","7,916","7,930","8,034","7,704","4,65M","0,82%"
"27.03.2020","7,852","7,940","8,090","7,654","5,55M","-3,04%"
"26.03.2020","8,098","7,576","8,106","7,554","5,19M","4,68%"
"25.03.2020","7,736","7,954","8,254","7,400","8,05M","0,91%"
"24.03.2020","7,666","7,750","7,850","7,510","7,28M","6,83%"
"23.03.2020","7,176","6,794","7,218","6,632","8,56M","3,46%"
"20.03.2020","6,936","6,982","7,468","6,906","9,30M","0,32%"
"19.03.2020","6,914","6,500","7,300","6,500","11,14M","8,54%"
"18.03.2020","6,370","6,400","6,652","6,128","7,51M","-1,94%"
"17.03.2020","6,496","6,782","7,000","6,400","9,05M","-0,09%"
"16.03.2020","6,502","6,640","6,718","6,104","12,19M","-3,59%"
"13.03.2020","6,744","6,400","7,790","6,354","12,49M","9,77%"
"12.03.2020","6,144","7,530","7,676","6,144","11,48M","-22,03%"
"11.03.2020","7,880","8,000","8,060","7,636","8,54M","0,03%"
"10.03.2020","7,878","8,534","8,708","7,860","9,80M","-6,86%"
"09.03.2020","8,458","8,800","8,844","8,238","13,41M","-13,00%"
"06.03.2020","9,722","9,270","9,744","9,190","8,17M","3,07%"
"05.03.2020","9,432","9,804","9,812","9,352","3,53M","-2,64%"
"04.03.2020","9,688","9,652","9,924","9,492","4,84M","0,71%"
"03.03.2020","9,620","9,510","9,880","9,408","7,93M","3,87%"
"02.03.2020","9,262","9,854","9,864","9,122","9,21M","-3,66%"
"28.02.2020","9,614","9,788","9,940","9,530","6,98M","-4,67%"
"27.02.2020","10,085","10,390","10,400","9,900","5,80M","-4,32%"
"26.02.2020","10,540","10,280","10,580","10,030","5,15M","1,98%"
"25.02.2020","10,335","10,520","10,590","10,255","4,65M","-1,52%"
"24.02.2020","10,495","10,815","10,945","10,405","6,91M","-7,08%"
"21.02.2020","11,295","11,305","11,510","11,200","3,37M","0,09%"
